student_id,tool_name,session_start,session_end,duration_seconds,interactions_count,completed,success_rate,context,device_type
S001,FractionVisualizer,2024-11-15 09:00:00,2024-11-15 09:15:00,900,45,True,92.5,classroom,tablet
S001,NumberLine,2024-11-15 10:00:00,2024-11-15 10:10:00,600,30,True,88.0,classroom,tablet
S002,FractionVisualizer,2024-11-15 09:05:00,2024-11-15 09:18:00,780,38,True,78.5,classroom,tablet
S002,MathQuiz,2024-11-15 14:00:00,2024-11-15 14:12:00,720,25,True,82.0,homework,computer
S003,EquationSolver,2024-11-15 11:00:00,2024-11-15 11:25:00,1500,60,True,95.0,self_study,computer
S003,FractionVisualizer,2024-11-15 13:00:00,2024-11-15 13:08:00,480,22,True,90.0,self_study,computer
S004,NumberLine,2024-11-15 09:10:00,2024-11-15 09:20:00,600,20,True,65.0,classroom,tablet
S004,FractionVisualizer,2024-11-15 15:00:00,2024-11-15 15:20:00,1200,35,False,55.0,homework,tablet
S005,GeometryBuilder,2024-11-15 10:30:00,2024-11-15 10:50:00,1200,50,True,85.0,classroom,computer
S005,MathQuiz,2024-11-15 16:00:00,2024-11-15 16:15:00,900,28,True,80.0,homework,computer
S006,FractionVisualizer,2024-11-16 09:00:00,2024-11-16 09:12:00,720,35,True,94.0,classroom,tablet
S006,MultiplicationTable,2024-11-16 10:00:00,2024-11-16 10:08:00,480,40,True,96.0,classroom,tablet
S007,NumberLine,2024-11-16 09:15:00,2024-11-16 09:28:00,780,32,True,75.0,classroom,tablet
S007,PatternRecognition,2024-11-16 14:30:00,2024-11-16 14:45:00,900,35,True,82.0,homework,computer
S008,FractionVisualizer,2024-11-16 10:00:00,2024-11-16 10:18:00,1080,28,True,62.0,self_study,tablet
S008,NumberLine,2024-11-16 15:00:00,2024-11-16 15:12:00,720,25,False,58.0,homework,tablet
S009,MathQuiz,2024-11-16 09:30:00,2024-11-16 09:42:00,720,30,True,78.0,classroom,tablet
S009,FractionVisualizer,2024-11-16 13:00:00,2024-11-16 13:15:00,900,38,True,81.0,self_study,tablet
S010,GeometryBuilder,2024-11-16 11:00:00,2024-11-16 11:20:00,1200,55,True,92.0,classroom,computer
S010,EquationSolver,2024-11-16 16:00:00,2024-11-16 16:25:00,1500,65,True,89.0,homework,computer
S011,PatternRecognition,2024-11-17 09:00:00,2024-11-17 09:18:00,1080,42,True,84.0,classroom,tablet
S011,FractionVisualizer,2024-11-17 14:00:00,2024-11-17 14:10:00,600,28,True,80.0,homework,tablet
S012,NumberLine,2024-11-17 09:20:00,2024-11-17 09:35:00,900,22,True,68.0,classroom,tablet
S012,MultiplicationTable,2024-11-17 15:00:00,2024-11-17 15:10:00,600,35,True,72.0,homework,tablet
S013,EquationSolver,2024-11-17 10:00:00,2024-11-17 10:30:00,1800,70,True,96.0,self_study,computer
S013,WordProblemHelper,2024-11-17 13:00:00,2024-11-17 13:25:00,1500,55,True,88.0,self_study,computer
S014,GeometryBuilder,2024-11-17 11:00:00,2024-11-17 11:22:00,1320,60,True,86.0,classroom,computer
S014,FractionVisualizer,2024-11-17 16:00:00,2024-11-17 16:12:00,720,32,True,83.0,homework,computer
S015,MathQuiz,2024-11-17 09:30:00,2024-11-17 09:45:00,900,28,True,76.0,classroom,tablet
S015,FractionVisualizer,2024-11-17 14:30:00,2024-11-17 14:42:00,720,30,True,79.0,homework,tablet
S016,NumberLine,2024-11-18 09:00:00,2024-11-18 09:15:00,900,24,True,64.0,classroom,tablet
S016,FractionVisualizer,2024-11-18 15:00:00,2024-11-18 15:18:00,1080,30,False,60.0,homework,tablet
S017,WordProblemHelper,2024-11-18 10:00:00,2024-11-18 10:28:00,1680,62,True,91.0,self_study,computer
S017,EquationSolver,2024-11-18 13:00:00,2024-11-18 13:22:00,1320,58,True,93.0,self_study,computer
S018,FractionVisualizer,2024-11-18 09:10:00,2024-11-18 09:22:00,720,34,True,81.0,classroom,tablet
S018,PatternRecognition,2024-11-18 14:00:00,2024-11-18 14:15:00,900,38,True,85.0,homework,tablet
S019,GeometryBuilder,2024-11-18 11:00:00,2024-11-18 11:25:00,1500,68,True,94.0,classroom,computer
S019,EquationSolver,2024-11-18 16:00:00,2024-11-18 16:20:00,1200,52,True,90.0,homework,computer
S020,NumberLine,2024-11-18 09:30:00,2024-11-18 09:48:00,1080,28,True,66.0,classroom,tablet
S020,FractionVisualizer,2024-11-18 15:30:00,2024-11-18 15:50:00,1200,32,False,58.0,homework,tablet
S001,FractionVisualizer,2024-11-18 09:00:00,2024-11-18 09:14:00,840,42,True,93.0,classroom,tablet
S002,FractionVisualizer,2024-11-18 09:05:00,2024-11-18 09:20:00,900,40,True,80.0,classroom,tablet
S003,FractionVisualizer,2024-11-18 13:00:00,2024-11-18 13:10:00,600,26,True,91.0,self_study,computer
S005,FractionVisualizer,2024-11-18 14:00:00,2024-11-18 14:15:00,900,36,True,84.0,homework,computer
